#Firmware: Speeduino 2024.02
ToothTime,Time
uS,uS
83700.0,5.8055144E7
103656.0,5.81588E7
90328.0,5.8249128E7
95956.0,5.8345084E7
84068.0,5.8429152E7
102204.0,5.8531356E7
90624.0,5.862198E7
98760.0,5.872074E7
87804.0,5.8808544E7
106936.0,5.891548E7
95112.0,5.9010592E7
98900.0,5.9109492E7
87736.0,5.9197228E7
104992.0,5.930222E7
94460.0,5.939668E7
101136.0,5.9497816E7
91192.0,5.9589008E7
110476.0,5.9699484E7
98812.0,5.9798296E7
101392.0,5.9899688E7
91320.0,5.9991008E7
107484.0,6.0098492E7
98400.0,6.0196892E7
103936.0,6.0300828E7
95124.0,6.0395952E7
114048.0,6.051E7
103436.0,6.0613436E7
104116.0,6.0717552E7
94964.0,6.0812516E7
110524.0,6.092304E7
102452.0,6.1025492E7
106636.0,6.1132128E7
98492.0,6.123062E7
116564.0,6.1347184E7
107872.0,6.1455056E7
106076.0,6.1561132E7
98016.0,6.1659148E7
112376.0,6.1771524E7
105800.0,6.1877324E7
106848.0,6.1984172E7
100268.0,6.208444E7
118020.0,6.220246E7
109416.0,6.2311876E7
106728.0,6.2418604E7
98616.0,6.251722E7
113464.0,6.2630684E7
106424.0,6.2737108E7
108096.0,6.2845204E7
101388.0,6.2946592E7
118508.0,6.30651E7
110732.0,6.3175832E7
106832.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
0.0,6.3282664E7
MARK 000
99504.0,6.3382168E7
113556.0,6.3495724E7
107124.0,6.3602848E7
108116.0,6.3710964E7
101052.0,6.3812016E7
118248.0,6.3930264E7
109608.0,6.4039872E7
107144.0,6.4147016E7
98708.0,6.4245724E7
113372.0,6.4359096E7
106076.0,6.4465172E7
107976.0,6.4573148E7
100312.0,6.467346E7
116860.0,6.479032E7
108616.0,6.4898936E7
106636.0,6.5005572E7
97640.0,6.5103212E7
112544.0,6.5215756E7
103816.0,6.5319572E7
106392.0,6.5425964E7
98372.0,6.5524336E7
116380.0,6.5640716E7
106244.0,6.574696E7
105644.0,6.5852604E7
96524.0,6.5949128E7
111376.0,6.6060504E7
102748.0,6.6163252E7
105848.0,6.62691E7
97504.0,6.6366604E7
115272.0,6.6481876E7
105376.0,6.6587252E7
104520.0,6.6691772E7
95004.0,6.6786776E7
110344.0,6.689712E7
101288.0,6.6998408E7
105088.0,6.7103496E7
96164.0,6.7199664E7
113928.0,6.7313592E7
104180.0,6.7417776E7
103112.0,6.7520888E7
94184.0,6.7615072E7
109332.0,6.77244E7
100956.0,6.782536E7
104784.0,6.7930144E7
95496.0,6.802564E7
113296.0,6.8138936E7
102932.0,6.8241872E7
102932.0,6.83448E7
93472.0,6.8438272E7
108944.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
0.0,6.8547216E7
MARK 001
99936.0,6.8647152E7
103656.0,6.8750808E7
94332.0,6.8845136E7
112676.0,6.8957808E7
102196.0,6.906E7
102364.0,6.9162368E7
92620.0,6.9254992E7
108240.0,6.9363232E7
99176.0,6.9462408E7
103560.0,6.9565968E7
93856.0,6.9659824E7
112928.0,6.9772752E7
101012.0,6.987376E7
102452.0,6.9976208E7
92100.0,7.0068304E7
108156.0,7.0176464E7
98416.0,7.027488E7
103380.0,7.0378256E7
93296.0,7.0471552E7
111860.0,7.0583408E7
100356.0,7.068376E7
102072.0,7.0785832E7
91464.0,7.0877296E7
107504.0,7.09848E7
97540.0,7.1082336E7
103180.0,7.118552E7
93000.0,7.127852E7
111964.0,7.139048E7
99692.0,7.1490176E7
101404.0,7.1591584E7
90848.0,7.1682432E7
106964.0,7.1789392E7
96716.0,7.1886112E7
102252.0,7.1988368E7
91788.0,7.208016E7
109224.0,7.2189384E7
7.2779344E7,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
0.0,1.44968736E8
MARK 002
